Sector,Sub-Industry,Production_Process,Assets,Fibres_And_Other_Materials_Dependency_Description,Fibres_And_Other_Materials_Materiality,Fibres_And_Other_Materials_Materiality_Justification,Fibres_And_Other_Materials_Assets,Genetic_Materials_Dependency_Description,Genetic_Materials_Materiality,Genetic_Materials_Materiality_Justification,Genetic_Materials_Assets,Ground_Water_Dependency_Description,Ground_Water_Materiality,Ground_Water_Materiality_Justification,Ground_Water_Assets,Surface_Water_Dependency_Description,Surface_Water_Materiality,Surface_Water_Materiality_Justification,Surface_Water_Assets,Animal_Based_Energy_Dependency_Description,Animal_Based_Energy_Materiality,Animal_Based_Energy_Materiality_Justification,Animal_Based_Energy_Assets,Filtration_Dependency_Description,Filtration_Materiality,Filtration_Materiality_Justification,Filtration_Assets,Bio-Remediation_Dependency_Description,Bio-Remediation_Materiality,Bio-Remediation_Materiality_Justification,Bio-Remediation_Assets,Dilution_By_Atmosphere_And_Ecosystems_Dependency_Description,Dilution_By_Atmosphere_And_Ecosystems_Materiality,Dilution_By_Atmosphere_And_Ecosystems_Materiality_Justification,Dilution_By_Atmosphere_And_Ecosystems_Assets,Mediation_Of_Sensory_Impacts_Dependency_Description,Mediation_Of_Sensory_Impacts_Materiality,Mediation_Of_Sensory_Impacts_Materiality_Justification,Mediation_Of_Sensory_Impacts_Assets,Buffering_And_Mass_Attenuation_Of_Flows_Dependency_Description,Buffering_And_Mass_Attenuation_Of_Flows_Materiality,Buffering_And_Mass_Attenuation_Of_Flows_Materiality_Justification,Buffering_And_Mass_Attenuation_Of_Flows_Assets,Mass_Stabilisation_And_Erosion_Control_Dependency_Description,Mass_Stabilisation_And_Erosion_Control_Materiality,Mass_Stabilisation_And_Erosion_Control_Materiality_Justification,Mass_Stabilisation_And_Erosion_Control_Assets,Water_Flow_Maintenance_Dependency_Description,Water_Flow_Maintenance_Materiality,Water_Flow_Maintenance_Materiality_Justification,Water_Flow_Maintenance_Assets,Flood_And_Storm_Protection_Dependency_Description,Flood_And_Storm_Protection_Materiality,Flood_And_Storm_Protection_Materiality_Justification,Flood_And_Storm_Protection_Assets,Ventilation_Dependency_Description,Ventilation_Materiality,Ventilation_Materiality_Justification,Ventilation_Assets,Pollination_Dependency_Description,Pollination_Materiality,Pollination_Materiality_Justification,Pollination_Assets,Maintain_Nursery_Habitats_Dependency_Description,Maintain_Nursery_Habitats_Materiality,Maintain_Nursery_Habitats_Materiality_Justification,Maintain_Nursery_Habitats_Assets,Pest_Control_Dependency_Description,Pest_Control_Materiality,Pest_Control_Materiality_Justification,Pest_Control_Assets,Disease_Control_Dependency_Description,Disease_Control_Materiality,Disease_Control_Materiality_Justification,Disease_Control_Assets,Soil_Quality_Dependency_Description,Soil_Quality_Materiality,Soil_Quality_Materiality_Justification,Soil_Quality_Assets,Water_Quality_Dependency_Description,Water_Quality_Materiality,Water_Quality_Materiality_Justification,Water_Quality_Assets,Climate_Regulation_Dependency_Description,Climate_Regulation_Materiality,Climate_Regulation_Materiality_Justification,Climate_Regulation_Assets, 
Consumer Discretionary,Department Stores,Infrastructure holdings,Species; Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of waste water as part of the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Education Services,Infrastructure holdings,Species; Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of waste water as part of the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,General Merchandise Stores,Infrastructure holdings,Species; Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of waste water as part of the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Home Improvement Retail,Infrastructure holdings,Species; Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of waste water as part of the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Home furnishing Retail,Infrastructure holdings,Species; Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of waste water as part of the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Internet & Direct Marketing Retail,Infrastructure holdings,Species; Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of waste water as part of the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Movies & Entertainment,Infrastructure holdings,Species; Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of waste water as part of the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Publishing,Infrastructure holdings,Species; Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of waste water as part of the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Specialty Stores,Infrastructure holdings,Species; Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,Assimilation of waste water as part of the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,Footwear,Footwear production,Species; Habitats; Atmosphere; Ocean Geomorphology; Water; Soils and sediments; Land geomorphology,,,,,,,,,,,,,,,,,,,,,Reliance on bacteria during waste assimilation as part of the production process,Low,,Species; Habitats,Reliance on bacteria during waste assimilation as part of the production process,Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,Natural dilution by atmosphere and ecosystems for the treatment of waste water,Low,Most of the time the PP can take place even with full disruption of the ES ,Atmosphere; Ocean Geomorphology; Water,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Water flow maintenance for production processes,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Habitats; Water; Atmosphere,"Naturally occurring green infrastructure to protect against damages or disruption from natural hazards, such as floods and storms ",Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES due to the resilience of the PP to disruption,Habitats,,,,,,,,,,,,,,,,,,,,,,,,,Maintenance of water chemical composition for production processes,Low,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Species; Water,,,,, 
Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Jewellery production,Species; Habitats; Atmosphere; Ocean Geomorphology; Water; Soils and sediments; Land geomorphology,Dyes and fibres for processing,Medium,"Most of the time the PP can take place with limited (but not with full) disruption of the ES

 Although less practical, PP can take place without the ES due to availability of substitutes
",Species; Habitats,,,,,,,,,Water is required as an input in the production process,Very Low,Most of the time the PP can take place even with full disruption of the ES ,Water,,,,,Reliance on bacteria during waste assimilation as part of the production process,Low,,Species; Habitats,Reliance on bacteria during waste assimilation as part of the production process,Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,Natural dilution by atmosphere and ecosystems for the treatment of waste water,Low,Most of the time the PP can take place even with full disruption of the ES ,Atmosphere; Ocean Geomorphology; Water,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Water flow maintenance for production processes,Medium,"Although less practical, PP can take place without the ES due to availability of substitutes",Habitats; Water; Atmosphere,"Naturally occurring green infrastructure to protect against damages or disruption from natural hazards, such as floods and storms ",Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES due to the resilience of the PP to disruption,Habitats,,,,,,,,,,,,,,,,,,,,,,,,,Water chemical composition needs to be maintained for cleaning and processing.,Low,"Although less practical, PP can take place without the ES due to availability of substitutes",Species; Water,,,,, 
Consumer Discretionary,Leisure Products,Production of leisure or personal products,Species; Habitats; Atmosphere; Ocean Geomorphology; Water,Natural occurring materials for production process,Very High,"ES is critical & irreplaceable in PP 

PP can take place with some disruption of the ES, but the high quantity of impact mitigation required for the PP makes this a high risk
",Species; Habitats,,,,,Water is required as an input in the production process,High,"Although less practical, PP can take place without the ES due to availability of substitutes",Water,Water is required as an input in the production process,High,"Although less practical, PP can take place without the ES due to availability of substitutes",Water,,,,,,,,,,,,,Natural dilution of production sourced pollution by atmosphere and ecosystems,Low,Most of the time the PP can take place even with full disruption of the ES ,Atmosphere; Ocean Geomorphology; Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Hotels and resorts provision,Species; Habitats; Atmosphere; Ocean Geomorphology; Water; Soils and sediments,Use of fuel wood for heating,Medium," Although less practical, PP can take place without the ES due to availability of substitutes",Species; Habitats,,,,,"Water is used to maintain facilities and services, e.g. cleaning, diluting waste, air conditioning and heating",High,"Although less practical, PP can take place without the ES due to availability of substitutes",Water,"Water is used to maintain facilities and services, e.g. cleaning, diluting waste, air conditioning and heating",High,"Although less practical, PP can take place without the ES due to availability of substitutes",Water,,,,,,,,,,,,,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,"Naturally occurring green infrastructure to protect against damages or disruption from natural hazards, such as floods and storms ",Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES due to the resilience of the PP to disruption,Habitats,,,,,,,,,,,,,,,,,,,,,,,,,Maintenance of water chemical composition for recreational purposes.,Low,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Species; Water,Climate regulation reduces negative impacts on production processes or service delivery,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Habitats; Water; Atmosphere; Species; Soils and sediments, 
Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Natural fibre production,Species; Habitats; Atmosphere; Minerals; Water; Soils and sediments; Land geomorphology; Ocean geomorphology,Dyes and fibres for processing,Medium,"Most of the time the PP can take place with limited (but not with full) disruption of the ES

 Although less practical, PP can take place without the ES due to availability of substitutes
",Species; Habitats,,,,,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,,,,,Reliance on bacteria during waste assimilation as part of the production process,Low,,Species; Habitats,Reliance on bacteria during waste assimilation as part of the production process,Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,Natural dilution by atmosphere and ecosystems for the treatment of waste water,Low,Most of the time the PP can take place even with full disruption of the ES ,Atmosphere; Ocean Geomorphology; Water,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Maintenance of water flow for a number of activities.,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Habitats; Water; Atmosphere,"Naturally occurring green infrastructure to protect against damages or disruption from natural hazards, such as floods and storms ",Medium,"Although less practical, PP can take place without the ES due to availability of protection substitutes",Habitats,,,,,,,,,,,,,,,,,,,,,,,,,Maintenance of water chemical composition for production processes,Low,"Although less practical, PP can take place without the ES due to availability of substitutes
",Species; Water,,,,, 
Consumer Discretionary,Textiles,Natural fibre production,Species; Habitats; Atmosphere; Minerals; Water; Soils and sediments; Land geomorphology; Ocean geomorphology,Dyes and fibres for processing,Medium,"Most of the time the PP can take place with limited (but not with full) disruption of the ES

 Although less practical, PP can take place without the ES due to availability of substitutes
",Species; Habitats,,,,,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,Water is required as an input in the production process,Very High, ES is critical & irreplaceable in PP,Water,,,,,Reliance on bacteria during waste assimilation as part of the production process,Low,,Species; Habitats,Reliance on bacteria during waste assimilation as part of the production process,Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,Natural dilution by atmosphere and ecosystems for the treatment of waste water,Low,Most of the time the PP can take place even with full disruption of the ES ,Atmosphere; Ocean Geomorphology; Water,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Maintenance of water flow for a number of activities.,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Habitats; Water; Atmosphere,"Naturally occurring green infrastructure to protect against damages or disruption from natural hazards, such as floods and storms ",Medium,"Although less practical, PP can take place without the ES due to availability of protection substitutes",Habitats,,,,,,,,,,,,,,,,,,,,,,,,,Maintenance of water chemical composition for production processes,Low,"Although less practical, PP can take place without the ES due to availability of substitutes
",Species; Water,,,,, 
Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Synthetic fibre production,Species; Habitats; Atmosphere; Minerals; Water; Soils and sediments; Land geomorphology; Ocean geomorphology,Dyes and fibres for processing,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Species; Habitats,,,,,Water is required as an input in the production process,Very High,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Water,Water is required as an input in the production process,Very High,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Water,,,,,Reliance on bacteria during waste assimilation as part of the production process,Low,,Species; Habitats,Reliance on bacteria during waste assimilation as part of the production process,Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,Natural dilution by atmosphere and ecosystems for the treatment of waste water,Low,Most of the time the PP can take place even with full disruption of the ES ,Atmosphere; Ocean Geomorphology; Water,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Very Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Water flow maintenance for production processes,Medium,"Although less practical, PP can take place without the ES due to availability of substitutes",Habitats; Water; Atmosphere,"Naturally occurring green infrastructure to protect against damages or disruption from natural hazards, such as floods and storms ",Medium,"Although less practical, PP can take place without the ES due to availability of protection substitutes",Habitats,,,,,,,,,,,,,,,,,,,,,,,,,Maintenance of water chemical composition for production processes,Low,"Although less practical, PP can take place without the ES due to availability of substitutes",Species; Water,,,,, 
Consumer Discretionary,Textiles,Synthetic fibre production,Species; Habitats; Atmosphere; Minerals; Water; Soils and sediments; Land geomorphology; Ocean geomorphology,Dyes and fibres for processing,Medium,Most of the time the PP can take place with limited (but not with full) disruption of the ES,Species; Habitats,,,,,Water is required as an input in the production process,Very High,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Water,Water is required as an input in the production process,Very High,"PP can take place with some disruption of the ES, but the high quantity of the ES required for the PP makes this a high risk",Water,,,,,Reliance on bacteria during waste assimilation as part of the production process,Low,,Species; Habitats,Reliance on bacteria during waste assimilation as part of the production process,Low,Most of the time the PP can take place even with full disruption of the ES ,Species; Habitats,Natural dilution by atmosphere and ecosystems for the treatment of waste water,Low,Most of the time the PP can take place even with full disruption of the ES ,Atmosphere; Ocean Geomorphology; Water,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Very Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,Water flow maintenance for production processes,Medium,"Although less practical, PP can take place without the ES due to availability of substitutes",Habitats; Water; Atmosphere,"Naturally occurring green infrastructure to protect against damages or disruption from natural hazards, such as floods and storms ",Medium,"Although less practical, PP can take place without the ES due to availability of protection substitutes",Habitats,,,,,,,,,,,,,,,,,,,,,,,,,Maintenance of water chemical composition for production processes,Low,"Although less practical, PP can take place without the ES due to availability of substitutes",Species; Water,,,,, 
Consumer Discretionary,Restaurants,Restaurant provision,Species; Habitats; Atmosphere; Water; Soils and sediments; Land geomorphology,,,,,,,,,"Water is used to maintain facilities and services, e.g. cleaning, diluting waste, air conditioning and heating",Very High, ES is critical & irreplaceable in PP,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naturally occurring erosion control to protect infrastructure and service provision,Low,Most of the time the PP can take place even with full disruption of the ES due to the resilience of the PP to disruption,Habitats; Soils and sediments; Land geomorphology,,,,,"Naturally occurring green infrastructure to protect against damages or disruption from natural hazards, such as floods and storms ",Medium,"Although less practical, PP can take place without the ES due to availability of protection substitutes",Habitats,Maintenance of air quality,Very Low,"Most of the time the PP can take place even
with full disruption of the ES",Species,,,,,,,,,,,,,,,,,,,,,,,,,Climate regulation reduces negative impacts on production processes or service delivery,Medium,"Although less practical, PP can take place without the ES due to availability of protection substitutes",Habitats; Water; Atmosphere; Species; Soils and sediments, 
Consumer Discretionary,Consumer Electronics,Electronics & hardware production,Atmosphere; Ocean Geomorphology; Water,,,,,,,,,Water is used in the production process for cooling,High,"Although less practical, PP can take place without the ES due to availability of substitutes",Water,Water is used in the production process for cooling,High,"Although less practical, PP can take place without the ES due to availability of substitutes",Water,,,,,,,,,,,,,Natural dilution of production sourced pollution by atmosphere and ecosystems,Low,Most of the time the PP can take place even with full disruption of the ES ,Atmosphere; Ocean Geomorphology; Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
