Ecosystem service,Description,Benefit,Natural Capital Asset,Importance,Importance justification,Driver of change,Influence,Influence justification,Likely response,Effect on variability of ecosystem service provision,Human action or natural variation,Timescale,Spatial characteristics
Dilution by atmosphere and ecosystems,"Atmospheric dilution is defined as wind movement to spread atmospheric impurities over larger areas and to mix them with the air in the atmosphere. The main sources of natural atmospheric impurities are volcanic emissions, forest fires, biological decay and gases emitted from trapped air bubbles in ice, ocean water etc. Other natural sources are radioactive gases resulting from cosmic ray interaction with the atmosphere and the decay of radioactive substances on earth. Industrial processes however have far exceeded natural emissions so that they can no longer be absorbed and broken down by natural atmospheric processes at the same rate as they are being emitted. Instead they are only being dispersed and diluted throughout the atmosphere. Atmospheric conditions, such as cloud cover, wind speed, vertical temperature profile, turbulence levels and surface radiation are the main system components influencing the quality of the asset. The emission height influences the availability of the asset, i.e. whether the pollutants are emitted at the ground level or from taller objects such as chimneys. Local and regional topography also plays a role, such as the presence of hills and valleys. The nature of the pollutant source, whether it is diffuse or a point, may determine the asset quality. The minimum conditions maintaining the dilution service is the action of transport and dispersion, i.e. horizontal wind movement across the surface of the Earth and vertical movement up to the maximum limit of the atmosphere. Wind direction and speed is also important.",Clean air,Atmosphere,R,"There is a linear relationship between dilution by atmosphere and the atmosphere as they are directly linked. Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. Changes in the atmosphere could not be reversed over a human lifetime. The atmosphere is not substitutable for dilution by atmosphere as a service because only the atmosphere can provide this service. There is low uncertainty in the relationship dilution by atmosphere and the atmosphere because they are intrinsically linked.",Human movement,R,"Transportation emissions are expected to rise globally from 7 Gt CO2/yr in 2010 (23% of all carbon emissions) to 12 GtCO2/yr by 2050 as a result of increasing demand and access to fuel based transport in developing countries. Greenhouse gases remain the largest and most important driver of global warming and atmospheric change, consequently the atmosphere has a high susceptibility to emission based drivers of change. Despite these figures, there is a lack of consistent and comprehensive assessments of the emission effects on the atmosphere by the transport sector in isolation, resulting in large variability in predictions relating to the impact of human movements on the atmosphere.  ",Larger doses of pollutants will reduce the ability of the atmosphere to dilute them to safe levels for humans,Rise in vehicles which are unable to meet modern pollution control requirements. Increase in pollution from motor vehicles.,Human action,Short term,Restricted to developing nations using older car models.
Dilution by atmosphere and ecosystems,"Atmospheric dilution is defined as wind movement to spread atmospheric impurities over larger areas and to mix them with the air in the atmosphere. The main sources of natural atmospheric impurities are volcanic emissions, forest fires, biological decay and gases emitted from trapped air bubbles in ice, ocean water etc. Other natural sources are radioactive gases resulting from cosmic ray interaction with the atmosphere and the decay of radioactive substances on earth. Industrial processes however have far exceeded natural emissions so that they can no longer be absorbed and broken down by natural atmospheric processes at the same rate as they are being emitted. Instead they are only being dispersed and diluted throughout the atmosphere. Atmospheric conditions, such as cloud cover, wind speed, vertical temperature profile, turbulence levels and surface radiation are the main system components influencing the quality of the asset. The emission height influences the availability of the asset, i.e. whether the pollutants are emitted at the ground level or from taller objects such as chimneys. Local and regional topography also plays a role, such as the presence of hills and valleys. The nature of the pollutant source, whether it is diffuse or a point, may determine the asset quality. The minimum conditions maintaining the dilution service is the action of transport and dispersion, i.e. horizontal wind movement across the surface of the Earth and vertical movement up to the maximum limit of the atmosphere. Wind direction and speed is also important.",Clean air,Atmosphere,R,"There is a linear relationship between dilution by atmosphere and the atmosphere as they are directly linked. Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. Changes in the atmosphere could not be reversed over a human lifetime. The atmosphere is not substitutable for dilution by atmosphere as a service because only the atmosphere can provide this service. There is low uncertainty in the relationship dilution by atmosphere and the atmosphere because they are intrinsically linked.",Industrial or domestic activities,R,"Population pressure is predicted to continue over the next 50 years, driving greater industrialisation, especially within developing countries. Models predict an overall trend of increased compositional change in the atmosphere over the next 100 years in response. Atmosphere is increasingly susceptible to these changes as current deforestation rates reduce natural filtration processes. It is estimated that extreme climate processes, such as the El Nino Southern Oscillation, will increase as a result of associated global warming changing convection currents in both the oceans and the atmosphere. Evolving international and domestic regulations and policies in favour of environmentally friendly technology means that the relationship between the atmosphere and industry cannot be predicted with a high degree of certainty over an extended period of time and that there is a high degree of variability between prediction models. 
",Elevated release of atmospheric contaminants is required to maximize dilution potential of the atmosphere.,The type of industrial plant influences emission heights - e.g. 1000MW fossil-fuel burning power plants have stacks up to 300 metres in height while nuclear power plants can have roof-level vents.,Human action,Long term,Global
Dilution by atmosphere and ecosystems,"Atmospheric dilution is defined as wind movement to spread atmospheric impurities over larger areas and to mix them with the air in the atmosphere. The main sources of natural atmospheric impurities are volcanic emissions, forest fires, biological decay and gases emitted from trapped air bubbles in ice, ocean water etc. Other natural sources are radioactive gases resulting from cosmic ray interaction with the atmosphere and the decay of radioactive substances on earth. Industrial processes however have far exceeded natural emissions so that they can no longer be absorbed and broken down by natural atmospheric processes at the same rate as they are being emitted. Instead they are only being dispersed and diluted throughout the atmosphere. Atmospheric conditions, such as cloud cover, wind speed, vertical temperature profile, turbulence levels and surface radiation are the main system components influencing the quality of the asset. The emission height influences the availability of the asset, i.e. whether the pollutants are emitted at the ground level or from taller objects such as chimneys. Local and regional topography also plays a role, such as the presence of hills and valleys. The nature of the pollutant source, whether it is diffuse or a point, may determine the asset quality. The minimum conditions maintaining the dilution service is the action of transport and dispersion, i.e. horizontal wind movement across the surface of the Earth and vertical movement up to the maximum limit of the atmosphere. Wind direction and speed is also important.",Clean air,Atmosphere,R,"There is a linear relationship between dilution by atmosphere and the atmosphere as they are directly linked. Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. Changes in the atmosphere could not be reversed over a human lifetime. The atmosphere is not substitutable for dilution by atmosphere as a service because only the atmosphere can provide this service. There is low uncertainty in the relationship dilution by atmosphere and the atmosphere because they are intrinsically linked.",Weather conditions,R,"Global atmospheric temperatures in 2016 rose to >0.94C of the 20th-century average and are predicted to increase (>2C in 100 years), this is correlated with extreme weather events, with 18% of extreme precipitation and 75% of daily heat extremes being ascribed to global warming via a robust model with low uncertainty.  The effects are not uniform across the globe due to an interplay between surface ocean heat distribution and atmospheric heat re-distribution, resulting in high variability in the response of weather patterns to atmospheric and surface temperature changes. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to exhibit further negative weather patterns in the future.",Prolonged periods of high pressure with little air movement can lead to temperature inversions (reversal of the normal decrease of air temperature with altitude).,Decrease in air flow reduces dilution effect and leads to accumulation of dust and pollutants.,Natural variation,Short term,Global. Exacerbated in cities at low elevation and surrounded by high topography.
Dilution by atmosphere and ecosystems,"The main asset of this system is saline water which constitutes 96.5% of the total water on Earth. The minimum conditions for maintaining the service flow are the ambient density stratification of the seawater and local currents. Stratification occurs when water masses of different characteristics, e.g. salinity, oxygenation or temperature differences, form layers which don’t mix well. The least favourable stratification conditions are those which create the lowest potential for dilution. Therefore maximum seawater vertical density stratification results in minimum dilution. Sea water density in turn is determined by salinity. Salinity variations are driven by precipitation, evaporation, runoff and ice freezing and melting. Underlying asset components include the stratification of sea water which is driven by density, salinity and temperature and surface wind direction and strength. In the deep ocean, a minimum condition for the dilution of at-sea pollutants, such as radioactive waste, is the horizontal and vertical velocities of the currents. Analysis of pollution dispersal shows that the horizontal transport is more significant in the upper ocean layers than in deep ones. Therefore pollutants can be delivered to the deep layers not through deep-water horizontal transport, but rather as a result of vertical downwelling from the already contaminated upper layers. ",Clean water,Ocean geomorphology,A,"There is a non-linear relationship between dilution by marine ecosystems and ocean geomorphology as they are not directly linked. Dilution by marine ecosystems is sensitive to changes in ocean geomorphology as changes can impact how quickly and efficiently pollutants are diluted. The changes may be reversed if coastal protection structures are replaced by natural alternatives, for example mangrove forests. Ocean geomorphology is a supporting asset for dilution by marine ecosystems as a service. There is low uncertainty in the relationship between dilution by marine ecosystems and ocean geomorphology. ",Industrial or domestic activities,A,"Industrial activities do not have a significant impact on large geomorphological structures such as trenches and seamounts. However, industrial and domestic activities have significant impacts on shallow water areas. Boom trawling greatly damages coral beds killing corals and destroying mineralised ocean structures, altering the geomorphology of reefs. Additionally, industrial and domestic clearance and pollution of coastal habitats, such as mangrove forest and saltmarsh, has resulted in the loss of important buffering processes that protect coastal structures from physical damage and alteration. With rising sea levels and increased storm frequency and intensity, negative impacts of industrial and domestic activity will continue to increase with low variability and uncertainty. ",Leads to coastal hardening.,Impacts how quickly and efficiently pollutants are diluted,Human action,Short term,Global
Dilution by atmosphere and ecosystems,"The system depends on the total freshwater volume of the Earth which is 2.5% of the Earth’s total water content. The freshwater system consists of lakes, rivers and streams, including wetlands such as swamps and bogs. The hydrological cycle maintains the quality of the service as the flows of the cycle provide the means to disperse and dilute fluids and solid waste. The capacity of freshwater systems to dilute can be summarised by the dilution factor, i.e. the ratio of freshwater by volume to human effluent, thus, low dilution factors may result from low runoff, high population density, or a combination of both. The system components are lakes, streams, rivers, and wetlands. The quality of the asset in these components is determined by nutrient content, algal concentration, and transparency of the water. In order to keep the dilution factor to an optimum, a ratio of river flow to raw wastewater flow of 40 to 1 is recommended. This is, therefore, the minimum condition needed to maintain the service flow.",Clean water and sanitation,Water,A,There is a linear relationship between dilution by freshwater ecosystems and water as they are directly linked. Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may be reversed if water flow is restored. Water is not substitutable for dilution by freshwater as a service because only water can provide this service. There is low uncertainty in the relationship dilution by freshwater and water because they are intrinsically linked.,Droughts,R,"Droughts are temporary decreases in the average water availability, which can be exacerbated when they occur in areas of low water resources. The number and intensity of droughts has increased over the past decade, due to desertification, land degradation and population increases. The impact of droughts on water supply varies by location, but is well researched",Increased evaporation rates and reduced freshwater flow resulting in deterioration of the water quality.,"Reduction of the dilution capacity of point source effluents. Decline in water quality is primarily caused by favourable conditions for the development of algae blooms (high water temperatures, long residence times, high nutrient concentrations). Changes in water temperature, eutrophication, major elements, and some heavy metals and metalloids.",Natural variation,Short term,Global - areas at risk of drought
Dilution by atmosphere and ecosystems,"The system depends on the total freshwater volume of the Earth which is 2.5% of the Earth’s total water content. The freshwater system consists of lakes, rivers and streams, including wetlands such as swamps and bogs. The hydrological cycle maintains the quality of the service as the flows of the cycle provide the means to disperse and dilute fluids and solid waste. The capacity of freshwater systems to dilute can be summarised by the dilution factor, i.e. the ratio of freshwater by volume to human effluent, thus, low dilution factors may result from low runoff, high population density, or a combination of both. The system components are lakes, streams, rivers, and wetlands. The quality of the asset in these components is determined by nutrient content, algal concentration, and transparency of the water. In order to keep the dilution factor to an optimum, a ratio of river flow to raw wastewater flow of 40 to 1 is recommended. This is, therefore, the minimum condition needed to maintain the service flow.",Clean water and sanitation,Water,A,There is a linear relationship between dilution by freshwater ecosystems and water as they are directly linked. Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may be reversed if water flow is restored. Water is not substitutable for dilution by freshwater as a service because only water can provide this service. There is low uncertainty in the relationship dilution by freshwater and water because they are intrinsically linked.,Industrial or domestic activities,R,"Demand for water will increase as a result of continued development pressures - unless water assets are appropriately managed this will see changes to level of service provision. Similarly to construction, industrial or domestic activities are also expected to increase over the next 5 years as a response to economic development and population growth - these activities will continue to have an impact on water. Water abstraction can be unsustainable, and water systems and communities are highly susceptible to impacts from such activities. The extent of industrial or domestic activities vary, as do the impact upon water systems - however, such impacts are well documented.",Increased vulnerability to change and pollution.,"Streams and rivers near newly drilled natural gas wells are vulnerable to: sediment runoff, reduced streamflow and possible contamination from introduced chemicals and the resulting wastewater.",Human action,Short term,Global
Dilution by atmosphere and ecosystems,"The system depends on the total freshwater volume of the Earth which is 2.5% of the Earth’s total water content. The freshwater system consists of lakes, rivers and streams, including wetlands such as swamps and bogs. The hydrological cycle maintains the quality of the service as the flows of the cycle provide the means to disperse and dilute fluids and solid waste. The capacity of freshwater systems to dilute can be summarised by the dilution factor, i.e. the ratio of freshwater by volume to human effluent, thus, low dilution factors may result from low runoff, high population density, or a combination of both. The system components are lakes, streams, rivers, and wetlands. The quality of the asset in these components is determined by nutrient content, algal concentration, and transparency of the water. In order to keep the dilution factor to an optimum, a ratio of river flow to raw wastewater flow of 40 to 1 is recommended. This is, therefore, the minimum condition needed to maintain the service flow.",Clean water and sanitation,Water,A,There is a linear relationship between dilution by freshwater ecosystems and water as they are directly linked. Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may be reversed if water flow is restored. Water is not substitutable for dilution by freshwater as a service because only water can provide this service. There is low uncertainty in the relationship dilution by freshwater and water because they are intrinsically linked.,Industrial or domestic construction,R,"Demand for water will increase as a result of continued development pressures - unless water assets are appropriately managed this will see changes to level of service provision. Industrial or domestic construction is anticipated to grow over the next 5 years, however, changes to building materials and legislation (stringent Environmental Assessments, especially within the UK) will mitigate to an extent against the impact on water - however, this level of regulation is not consistent globally. Despite this protection, the construction industry has the potential to irreversibly damage and alter water bodies and quality. Water bodies vary spatially, however the impact of industry and construction is well-documented, with low variability across systems.",Changes in sediment regime.,Sedimentation causes reservoir infill and a reduction in sediment supply downstream to create wetland features,Human action,Long term,"All dammed rivers, especially big, complex dam systems, e.g. the Amazon, Mekong and Congo."
Dilution by atmosphere and ecosystems,"The main asset of this system is saline water which constitutes 96.5% of the total water on Earth. The minimum conditions for maintaining the service flow are the ambient density stratification of the seawater and local currents. Stratification occurs when water masses of different characteristics, e.g. salinity, oxygenation or temperature differences, form layers which don’t mix well. The least favourable stratification conditions are those which create the lowest potential for dilution. Therefore maximum seawater vertical density stratification results in minimum dilution. Sea water density in turn is determined by salinity. Salinity variations are driven by precipitation, evaporation, runoff and ice freezing and melting. Underlying asset components include the stratification of sea water which is driven by density, salinity and temperature and surface wind direction and strength. In the deep ocean, a minimum condition for the dilution of at-sea pollutants, such as radioactive waste, is the horizontal and vertical velocities of the currents. Analysis of pollution dispersal shows that the horizontal transport is more significant in the upper ocean layers than in deep ones. Therefore pollutants can be delivered to the deep layers not through deep-water horizontal transport, but rather as a result of vertical downwelling from the already contaminated upper layers. ",Clean water,Water,A,There is a linear relationship between dilution by marine ecosystems and water as they are directly linked. Dilution by marine ecosystems is highly sensitive to changes in water as changes in stratification and currents can affect the service. Changes are likely to be reversed naturally and over a short timeframe. Water is not substitutable for dilution by marine ecosystems as a service because only it can provide this service. There is low uncertainty in the relationship between dilution by marine ecosystems and water because they are intrinsically linked. ,Ocean current and circulation,A,"Water assets are anticipated to alter within the next 5 years, as a consequence of population growth and impacts from climate change. Ocean currents and circulation affect water resources provided by oceans. Salinity and temperature determine the density of ocean water, and density influences the circulation. The impact of ocean currents on water assets is relatively minor, and will vary by location. There is low uncertainty in this relationship.","Concentration of marine litter, especially plastics.",Micro plastics tend to accumulate on certain coastal areas depending on winds and currents as well as at major oceanic fronts known as gyres.,Natural variation,Long term,Coastal areas and sub-tropical gyres
Dilution by atmosphere and ecosystems,"The main asset of this system is saline water which constitutes 96.5% of the total water on Earth. The minimum conditions for maintaining the service flow are the ambient density stratification of the seawater and local currents. Stratification occurs when water masses of different characteristics, e.g. salinity, oxygenation or temperature differences, form layers which don’t mix well. The least favourable stratification conditions are those which create the lowest potential for dilution. Therefore maximum seawater vertical density stratification results in minimum dilution. Sea water density in turn is determined by salinity. Salinity variations are driven by precipitation, evaporation, runoff and ice freezing and melting. Underlying asset components include the stratification of sea water which is driven by density, salinity and temperature and surface wind direction and strength. In the deep ocean, a minimum condition for the dilution of at-sea pollutants, such as radioactive waste, is the horizontal and vertical velocities of the currents. Analysis of pollution dispersal shows that the horizontal transport is more significant in the upper ocean layers than in deep ones. Therefore pollutants can be delivered to the deep layers not through deep-water horizontal transport, but rather as a result of vertical downwelling from the already contaminated upper layers. ",Clean water,Water,A,There is a linear relationship between dilution by marine ecosystems and water as they are directly linked. Dilution by marine ecosystems is highly sensitive to changes in water as changes in stratification and currents can affect the service. Changes are likely to be reversed naturally and over a short timeframe. Water is not substitutable for dilution by marine ecosystems as a service because only it can provide this service. There is low uncertainty in the relationship between dilution by marine ecosystems and water because they are intrinsically linked. ,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. It can cause changes to water quality parameters, such as Dissolved Oxygen, pH, Chemical Oxygen Demand, Total Suspendid Solids, and temperature, as well as altering water supply. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents. Nutrient offsetting, Payment for Ecosystem Services schemes and other incentives are in place in many regions, to attempt to reduce pollution into water courses. Pollution impacts vary by water course, however the potential impacts are well researched.",Reduction in dilution service potential.,"Both point and non-point source pollutants results in eutrophication and coastal economic damage, e.g. beach closures.",Human action,Short term,Coastal areas
Dilution by atmosphere and ecosystems,"The main asset of this system is saline water which constitutes 96.5% of the total water on Earth. The minimum conditions for maintaining the service flow are the ambient density stratification of the seawater and local currents. Stratification occurs when water masses of different characteristics, e.g. salinity, oxygenation or temperature differences, form layers which don’t mix well. The least favourable stratification conditions are those which create the lowest potential for dilution. Therefore maximum seawater vertical density stratification results in minimum dilution. Sea water density in turn is determined by salinity. Salinity variations are driven by precipitation, evaporation, runoff and ice freezing and melting. Underlying asset components include the stratification of sea water which is driven by density, salinity and temperature and surface wind direction and strength. In the deep ocean, a minimum condition for the dilution of at-sea pollutants, such as radioactive waste, is the horizontal and vertical velocities of the currents. Analysis of pollution dispersal shows that the horizontal transport is more significant in the upper ocean layers than in deep ones. Therefore pollutants can be delivered to the deep layers not through deep-water horizontal transport, but rather as a result of vertical downwelling from the already contaminated upper layers. ",Clean water,Water,A,There is a linear relationship between dilution by marine ecosystems and water as they are directly linked. Dilution by marine ecosystems is highly sensitive to changes in water as changes in stratification and currents can affect the service. Changes are likely to be reversed naturally and over a short timeframe. Water is not substitutable for dilution by marine ecosystems as a service because only it can provide this service. There is low uncertainty in the relationship between dilution by marine ecosystems and water because they are intrinsically linked. ,Storms,R,"Storm runoff events affect the water quality of reservoirs and increase risks to the water supply. Stormwater enters reservoirs, causing turbid and anoxic conditions - reducing water quality. It is predicted that the frequency of extreme rainfall events will occur more frequently in the future. Water systems vary by location, as such impacts vary. The relationship between storm events and water supply is less well developed.",Mixed layers of water.,Well mixed layers increase dilution potential of seawater.,Natural variation,"Short (surface winds, e.g. monsoon seasons) to long term (upwelling and down welling)","Global - deep ocean currents, e.g. the Antarctic Circumpolar Current"
Dilution by atmosphere and ecosystems,"The system depends on the total freshwater volume of the Earth which is 2.5% of the Earth’s total water content. The freshwater system consists of lakes, rivers and streams, including wetlands such as swamps and bogs. The hydrological cycle maintains the quality of the service as the flows of the cycle provide the means to disperse and dilute fluids and solid waste. The capacity of freshwater systems to dilute can be summarised by the dilution factor, i.e. the ratio of freshwater by volume to human effluent, thus, low dilution factors may result from low runoff, high population density, or a combination of both. The system components are lakes, streams, rivers, and wetlands. The quality of the asset in these components is determined by nutrient content, algal concentration, and transparency of the water. In order to keep the dilution factor to an optimum, a ratio of river flow to raw wastewater flow of 40 to 1 is recommended. This is, therefore, the minimum condition needed to maintain the service flow.",Clean water and sanitation,Water,A,There is a linear relationship between dilution by freshwater ecosystems and water as they are directly linked. Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may be reversed if water flow is restored. Water is not substitutable for dilution by freshwater as a service because only water can provide this service. There is low uncertainty in the relationship dilution by freshwater and water because they are intrinsically linked.,Water abstraction,R,"Water availability problems occur when the demand for water exceeds the amount available during a certain period - as such, the relationship is generally non-linear. This often happens in areas with high population densities, combined with low rainfall, resulting in depletion of water courses, and salt-water intrusion in aquifers. These impacts are expected to worsen in the long-term, as demand continues to increase. Impacts of abstraction vary by location, due to different environmental conditions, but with low uncertainty. ",Fragmentation of the river system.,Reduced dilution ability as river flow is disrupted. Increased human presence creates more effluent flow exacerbating the problem.,Human action,Short term,Global
Dilution by atmosphere and ecosystems,"The main asset of this system is saline water which constitutes 96.5% of the total water on Earth. The minimum conditions for maintaining the service flow are the ambient density stratification of the seawater and local currents. Stratification occurs when water masses of different characteristics, e.g. salinity, oxygenation or temperature differences, form layers which don’t mix well. The least favourable stratification conditions are those which create the lowest potential for dilution. Therefore maximum seawater vertical density stratification results in minimum dilution. Sea water density in turn is determined by salinity. Salinity variations are driven by precipitation, evaporation, runoff and ice freezing and melting. Underlying asset components include the stratification of sea water which is driven by density, salinity and temperature and surface wind direction and strength. In the deep ocean, a minimum condition for the dilution of at-sea pollutants, such as radioactive waste, is the horizontal and vertical velocities of the currents. Analysis of pollution dispersal shows that the horizontal transport is more significant in the upper ocean layers than in deep ones. Therefore pollutants can be delivered to the deep layers not through deep-water horizontal transport, but rather as a result of vertical downwelling from the already contaminated upper layers. ",Clean water,Water,A,There is a linear relationship between dilution by marine ecosystems and water as they are directly linked. Dilution by marine ecosystems is highly sensitive to changes in water as changes in stratification and currents can affect the service. Changes are likely to be reversed naturally and over a short timeframe. Water is not substitutable for dilution by marine ecosystems as a service because only it can provide this service. There is low uncertainty in the relationship between dilution by marine ecosystems and water because they are intrinsically linked. ,Weather conditions,R,"Weather conditions can affect water in a number of different ways. In the short term, daily to seasonal variation in rainfall affects how solar energy impacts water in landscapes; in the mid term there are inter-annual variations in rainfall; and in the long term, decadal variation in rainfall patterns. These will cause water quality changes (physico-chemical parameters, introduction of micropollutants and biological parameters), which will impact drinking water production and human health. Water has a medium susceptibility to the impacts of weather conditions, and each water system is different - so weather conditions have varying impacts. There is medium uncertainty in how climate change and other pressures related to weather conditions will impact water systems in the future.",Mixed layers of water.,Well mixed layers increase dilution potential of seawater.,Natural variation,"Short (surface winds, e.g. monsoon seasons) to long term (upwelling and down welling)","Global - deep ocean currents, e.g. the Antarctic Circumpolar Current"
Disease control,"Human disease control is provided through regulation of the disease transmission cycles and controlling spill over into human populations. The control mechanisms are density-dependent processes such as acquired immunity to infectious disease and limits on the carrying capacity of the habitat to support insect vectors and reservoir hosts (the long-term host of a pathogen of an infectious disease). In cultivated ecosystems such as arable agriculture, micro-organisms have been introduced for biological control of plant pathogens such as bacteria and fungi. The main mechanism of biological control is that the introduced micro-organisms compete with the pathogens for finite resources like nutrient sources provided by the seed or plant. Alternatively, resistance to diseases can be induced in plants through previous treatment with a pathogen, an attenuated version of the pathogen or a chemical, that is not a pesticide. Underlying asset components include policies that influence human population size such as migration, patterns of energy production/consumption, food production and overall demand for natural resources. These human-induced changes can cause the quality of the regulation of the disease transmission cycle to change. For example, such changes may lead to the destabilization of natural equilibria which keep populations of disease vectors in check, improving conditions for disease transmission and elevating risks to humans. Human activities that alter natural ecosystems such as human settlement building, deforestation, dam construction and reservoir flooding, as well as irrigation schemes can drive the spatiotemporal patterns of disease and its contact with humans. The minimum conditions to maintain the service are limiting the availability of suitable habitat for disease vectors and the area of reservoir hosts of infection. This includes maintaining integrity and connectivity of habitats as fragmentation opens up forest edges and exposes humans to novel diseases.",Human health,Habitats,A,There is a non-linear relationship between disease control and habitats as they are not directly linked. Disease control is sensitive to changes in habitats as these changes can lead to a range of disease outbreaks. These changes could be reversed if habitats are restored. Habitats are a supporting asset for disease control as a service. There is low uncertainty in the relationship between disease control and habitats as there has been many studies. ,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats are susceptible to the changes brought by habitat modifaction, however habitats vary in resilience - therefore impacts differ. The direct impacts of disturbance on habitats (e.g. tropical forests) are still uncertain.","Deforestation, road construction, agricultural encroachment, dam building, irrigation, coastal zone degradation, wetland modification, mining, and urbanisation",Complex and interlinked response in asset-service system. Interruption of the natural regulation of habitat for disease hosts results in increased exposure of humans to infectious disease,Human action,Short-long term,Global
Disease control,"Human disease control is provided through regulation of the disease transmission cycles and controlling spill over into human populations. The control mechanisms are density-dependent processes such as acquired immunity to infectious disease and limits on the carrying capacity of the habitat to support insect vectors and reservoir hosts (the long-term host of a pathogen of an infectious disease). In cultivated ecosystems such as arable agriculture, micro-organisms have been introduced for biological control of plant pathogens such as bacteria and fungi. The main mechanism of biological control is that the introduced micro-organisms compete with the pathogens for finite resources like nutrient sources provided by the seed or plant. Alternatively, resistance to diseases can be induced in plants through previous treatment with a pathogen, an attenuated version of the pathogen or a chemical, that is not a pesticide. Underlying asset components include policies that influence human population size such as migration, patterns of energy production/consumption, food production and overall demand for natural resources. These human-induced changes can cause the quality of the regulation of the disease transmission cycle to change. For example, such changes may lead to the destabilization of natural equilibria which keep populations of disease vectors in check, improving conditions for disease transmission and elevating risks to humans. Human activities that alter natural ecosystems such as human settlement building, deforestation, dam construction and reservoir flooding, as well as irrigation schemes can drive the spatiotemporal patterns of disease and its contact with humans. The minimum conditions to maintain the service are limiting the availability of suitable habitat for disease vectors and the area of reservoir hosts of infection. This includes maintaining integrity and connectivity of habitats as fragmentation opens up forest edges and exposes humans to novel diseases.",Human health,Habitats,A,There is a non-linear relationship between disease control and habitats as they are not directly linked. Disease control is sensitive to changes in habitats as these changes can lead to a range of disease outbreaks. These changes could be reversed if habitats are restored. Habitats are a supporting asset for disease control as a service. There is low uncertainty in the relationship between disease control and habitats as there has been many studies. ,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats are susceptible to the changes brought by habitat modifaction, however habitats vary in resilience - therefore impacts differ. The direct impacts of disturbance on habitats (e.g. tropical forests) are still uncertain.","Forest edges opened up, exposing humans to new diseases from previously uncontacted pathogens",Service provision weakens as there are no factors present for the regulation of the disease transmission cycle,Human action,Short term,Developing countries
Disease control,"Human disease control is provided through regulation of the disease transmission cycles and controlling spill over into human populations. The control mechanisms are density-dependent processes such as acquired immunity to infectious disease and limits on the carrying capacity of the habitat to support insect vectors and reservoir hosts (the long-term host of a pathogen of an infectious disease). In cultivated ecosystems such as arable agriculture, micro-organisms have been introduced for biological control of plant pathogens such as bacteria and fungi. The main mechanism of biological control is that the introduced micro-organisms compete with the pathogens for finite resources like nutrient sources provided by the seed or plant. Alternatively, resistance to diseases can be induced in plants through previous treatment with a pathogen, an attenuated version of the pathogen or a chemical, that is not a pesticide. Underlying asset components include policies that influence human population size such as migration, patterns of energy production/consumption, food production and overall demand for natural resources. These human-induced changes can cause the quality of the regulation of the disease transmission cycle to change. For example, such changes may lead to the destabilization of natural equilibria which keep populations of disease vectors in check, improving conditions for disease transmission and elevating risks to humans. Human activities that alter natural ecosystems such as human settlement building, deforestation, dam construction and reservoir flooding, as well as irrigation schemes can drive the spatiotemporal patterns of disease and its contact with humans. The minimum conditions to maintain the service are limiting the availability of suitable habitat for disease vectors and the area of reservoir hosts of infection. This includes maintaining integrity and connectivity of habitats as fragmentation opens up forest edges and exposes humans to novel diseases.",Human health,Habitats,A,There is a non-linear relationship between disease control and habitats as they are not directly linked. Disease control is sensitive to changes in habitats as these changes can lead to a range of disease outbreaks. These changes could be reversed if habitats are restored. Habitats are a supporting asset for disease control as a service. There is low uncertainty in the relationship between disease control and habitats as there has been many studies. ,Weather conditions,R,"Increased temperatures have led to alterations in vegetation composition, altering biotic components of habitats, whilst extreme weather events have resulted in the increased geomorphology of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions. A wide variety of factors interact together to cause this effect. Consequently, a wide range of models and predictive methods are used to evaluate habitat responses, creating a large amount of variability and uncertainty in reported impacts.",Species (of pathogens or their hosts) range shifts due to change in climate conditions,Usual predator-prey relationships change and harmful species can spread into areas where they are not predated on,Human action,Long term,Global
