Process,Ecosystem Service,RAG,Justification
Footwear production,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Footwear production,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Footwear production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Footwear production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Footwear production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Footwear production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Freshwater wild-caught fish,Climate regulation,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Freshwater wild-caught fish,Water quality,H,Ecosystem service is critical and irreplaceable in production process
Freshwater wild-caught fish,Soil quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Freshwater wild-caught fish,Disease control,M,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Freshwater wild-caught fish,Pest control,M,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Freshwater wild-caught fish,Maintain nursery habitats,H,Ecosystem service is critical and irreplaceable in production process
Freshwater wild-caught fish,Ventilation,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Freshwater wild-caught fish,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Freshwater wild-caught fish,Buffering and attenuation of mass flows,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Freshwater wild-caught fish,Filtration,H,"Wild-fish and other species service in the ocean/rivers are dependent on the success of natural filtration. If the ecosystem service was able to function, the organisms would experience significant negative impacts. 

"
Freshwater wild-caught fish,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Freshwater wild-caught fish,Genetic materials,H,Ecosystem service is critical and irreplaceable in production process 
Gas adsorption,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Gas adsorption,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Gas adsorption,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Gas adsorption,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Gas adsorption,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Gas adsorption,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Gas adsorption,Mediation of sensory impacts,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Gas adsorption,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Gas adsorption,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Gas adsorption,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Gas adsorption,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Gas adsorption,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Gas distribution,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Gas distribution,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Gas distribution,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Gas retail,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Gas retail,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Gas retail,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Gas retail,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Geothermal energy production,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Geothermal energy production,Water quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Geothermal energy production,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Geothermal energy production,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Geothermal energy production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Geothermal energy production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Geothermal energy production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Geothermal energy production,Surface water,M,"High temperature geothermal energy is the predominant commercially produced form of geothermal energy and is not heavily reliant on surface water. However, low temperature geothermal is typically reliant on significant quantities service of surface water and could not function with it."
Geothermal energy production,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Glass making,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Glass making,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Glass making,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Hotels and resorts provision,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Hotels and resorts provision,Water quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Hotels and resorts provision,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Hotels and resorts provision,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Hotels and resorts provision,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Hotels and resorts provision,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Hotels and resorts provision,Fibres and other materials,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Houseware and specialities production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Houseware and specialities production,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Houseware and specialities production,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Hydropower production,Climate regulation,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Hydropower production,Water quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Hydropower production,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Hydropower production,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Hydropower production,Mass stabilisation and erosion control,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Hydropower production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Hydropower production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Hydropower production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Hydropower production,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Hydropower production,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Incomplete combustion,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Incomplete combustion,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Incomplete combustion,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Incomplete combustion,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Incomplete combustion,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Infrastructure builds,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Infrastructure holdings,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Infrastructure holdings,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Infrastructure maintenance contracts,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Infrastructure maintenance contracts,Soil quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service
Infrastructure maintenance contracts,Pest control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Infrastructure maintenance contracts,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Infrastructure maintenance contracts,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Infrastructure maintenance contracts,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Infrastructure maintenance contracts,Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Infrastructure maintenance contracts,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Infrastructure maintenance contracts,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Integrated oil and gas,Climate regulation,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Integrated oil and gas,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Integrated oil and gas,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Integrated oil and gas,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Integrated oil and gas,Bio-remediation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Integrated oil and gas,Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Integrated oil and gas,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Integrated oil and gas,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Iron extraction,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Iron extraction,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Iron extraction,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Iron extraction,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Iron extraction,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Iron metal production,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Iron metal production,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Iron metal production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Iron metal production,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Iron metal production,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Jewellery production,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Jewellery production,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Jewellery production,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Jewellery production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Jewellery production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Jewellery production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Jewellery production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Jewellery production,Fibres and other materials,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

 Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Large-scale forestry,Climate regulation,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale forestry,Soil quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Large-scale forestry,Disease control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale forestry,Pest control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale forestry,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Large-scale forestry,Mass stabilisation and erosion control,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale forestry,Bio-remediation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Large-scale forestry,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale forestry,Animal-based energy,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale forestry,Surface water,H,Ecosystem service is critical and irreplaceable in production process
Large-scale forestry,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Large-scale irrigated arable crops,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale irrigated arable crops,Water quality,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Large-scale irrigated arable crops,Soil quality,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Large-scale irrigated arable crops,Disease control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale irrigated arable crops,Pest control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale irrigated arable crops,Pollination,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Large-scale irrigated arable crops,Ventilation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Large-scale irrigated arable crops,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale irrigated arable crops,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Large-scale irrigated arable crops,Mass stabilisation and erosion control,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
