Ecosystem Service,Asset,Importance,Justification
Climate regulation,Habitats,R,"Habitats play an important role in global climate regulation through carbon sequestration and carbon storage. They also play important roles in local climate regulation, for example through their capacity for water retention or shade provision. Some changes to habitats may be reversible but generally over a long time frame, but others such as deforestation in tropical regions would result in a drier climate which may prevent areas from being reforested."
Climate regulation,Habitats,R,"Habitats play an important role in global climate regulation through carbon sequestration and carbon storage. They also play important roles in local climate regulation, for example through their capacity for water retention or shade provision. Some changes to habitats may be reversible but generally over a long time frame, but others such as deforestation in tropical regions would result in a drier climate which may prevent areas from being reforested."
Climate regulation,Habitats,A,"Habitats play an important role in global climate regulation through carbon sequestration and carbon storage. They also play important roles in local climate regulation, for example through their capacity for water retention or shade provision. Some changes to habitats may be reversible but generally over a long time frame, but others such as deforestation in tropical regions would result in a drier climate which may prevent areas from being reforested."
Climate regulation,Habitats,A,"Habitats play an important role in global climate regulation through carbon sequestration and carbon storage. They also play important roles in local climate regulation, for example through their capacity for water retention or shade provision. Some changes to habitats may be reversible but generally over a long time frame, but others such as deforestation in tropical regions would result in a drier climate which may prevent areas from being reforested."
Climate regulation,Habitats,A,"Habitats play an important role in global climate regulation through carbon sequestration and carbon storage. They also play important roles in local climate regulation, for example through their capacity for water retention or shade provision. Some changes to habitats may be reversible but generally over a long time frame, but others such as deforestation in tropical regions would result in a drier climate which may prevent areas from being reforested."
Climate regulation,Habitats,A,"Habitats play an important role in global climate regulation through carbon sequestration and carbon storage. They also play important roles in local climate regulation, for example through their capacity for water retention or shade provision. Some changes to habitats may be reversible but generally over a long time frame, but others such as deforestation in tropical regions would result in a drier climate which may prevent areas from being reforested."
Climate regulation,Habitats,R,"Habitats play an important role in global climate regulation through carbon sequestration and carbon storage. They also play important roles in local climate regulation, for example through their capacity for water retention or shade provision. Some changes to habitats may be reversible but generally over a long time frame, but others such as deforestation in tropical regions would result in a drier climate which may prevent areas from being reforested."
Climate regulation,Soils and sediments,A,"Global climate regulation by terrestrial ecosystems is sensitive to changes in soils and sediments which happens as a result of deforestation, land use change and wetland drainage."
Climate regulation,Soils and sediments,G,"Global climate regulation by terrestrial ecosystems is sensitive to changes in soils and sediments which happens as a result of deforestation, land use change and wetland drainage."
Climate regulation,Soils and sediments,A,"Global climate regulation by terrestrial ecosystems is sensitive to changes in soils and sediments which happens as a result of deforestation, land use change and wetland drainage."
Climate regulation,Soils and sediments,G,"Global climate regulation by terrestrial ecosystems is sensitive to changes in soils and sediments which happens as a result of deforestation, land use change and wetland drainage."
Climate regulation,Soils and sediments,A,"Global climate regulation by terrestrial ecosystems is sensitive to changes in soils and sediments which happens as a result of deforestation, land use change and wetland drainage."
Climate regulation,Species,A,"Global, regional and micro climate regulation by terrestrial ecosystems is sensitive to changes in species as they play an important role in carbon sequestration and carbon storage."
Climate regulation,Species,A,"Global, regional and micro climate regulation by terrestrial ecosystems is sensitive to changes in species as they play an important role in carbon sequestration and carbon storage."
Climate regulation,Species,A,"Global, regional and micro climate regulation by terrestrial ecosystems is sensitive to changes in species as they play an important role in carbon sequestration and carbon storage."
Climate regulation,Species,A,"Global, regional and micro climate regulation by terrestrial ecosystems is sensitive to changes in species as they play an important role in carbon sequestration and carbon storage."
Climate regulation,Water,R,Micro and regional climate regulation are sensitive to changes in water as it plays a role in local climate regulation through ocean circulation and changes in surface water. Major changes in ocean circulation would be irreversible.
Climate regulation,Water,R,Micro and regional climate regulation are sensitive to changes in water as it plays a role in local climate regulation through ocean circulation and changes in surface water. Major changes in ocean circulation would be irreversible.
Climate regulation,Water,R,Micro and regional climate regulation are sensitive to changes in water as it plays a role in local climate regulation through ocean circulation and changes in surface water. Major changes in ocean circulation would be irreversible.
Climate regulation,Water,R,Micro and regional climate regulation are sensitive to changes in water as it plays a role in local climate regulation through ocean circulation and changes in surface water. Major changes in ocean circulation would be irreversible.
Climate regulation,Water,R,Micro and regional climate regulation are sensitive to changes in water as it plays a role in local climate regulation through ocean circulation and changes in surface water. Major changes in ocean circulation would be irreversible.
Climate regulation,Water,R,Micro and regional climate regulation are sensitive to changes in water as it plays a role in local climate regulation through ocean circulation and changes in surface water. Major changes in ocean circulation would be irreversible.
Climate regulation,Water,R,Micro and regional climate regulation are sensitive to changes in water as it plays a role in local climate regulation through ocean circulation and changes in surface water. Major changes in ocean circulation would be irreversible.
Dilution by atmosphere and ecosystems,Atmosphere,R,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Dilution by atmosphere and ecosystems,Atmosphere,R,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Dilution by atmosphere and ecosystems,Atmosphere,R,"Dilution by atmosphere is highly sensitive to changes in the atmosphere as cloud cover, wind speed, vertical temperature profile and turbulence levels are the main system components influencing the service. The scale and complexity of the atmosphere means that changes that humans cause can often not be reversed over a human lifetime."
Dilution by atmosphere and ecosystems,Ocean geomorphology,A,Changes in ocean geomorphology can impact how quickly and efficiently pollutants are diluted in marine environments.
Dilution by atmosphere and ecosystems,Water,A,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Dilution by atmosphere and ecosystems,Water,A,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Dilution by atmosphere and ecosystems,Water,A,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Dilution by atmosphere and ecosystems,Water,A,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Dilution by atmosphere and ecosystems,Water,A,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Dilution by atmosphere and ecosystems,Water,A,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Dilution by atmosphere and ecosystems,Water,A,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Dilution by atmosphere and ecosystems,Water,A,Dilution by freshwater ecosystems is highly sensitive to changes in water flow as this affects the dilution factor. These changes may however be reversed if water flow is restored.
Disease control,Habitats,A,Habitats are a supporting asset for disease control and changes in habitats can lead to a range of disease outbreaks.
Disease control,Habitats,A,Habitats are a supporting asset for disease control and changes in habitats can lead to a range of disease outbreaks.
Disease control,Species,R,Species act as both vectors and predators of disease. Any change in species composition can therefore impact the ability to provide disease control.
Disease control,Species,R,Species act as both vectors and predators of disease. Any change in species composition can therefore impact the ability to provide disease control.
Disease control,Species,R,Species act as both vectors and predators of disease. Any change in species composition can therefore impact the ability to provide disease control.
Disease control,Species,R,Species act as both vectors and predators of disease. Any change in species composition can therefore impact the ability to provide disease control.
Fibres and other materials,Habitats,A,"Habitats form the supporting environment for plants. As such, plant-based resources are sensitive to changes in habitats, however these changes may be reversed if the habitat is restored."
Fibres and other materials,Habitats,A,"Habitats form the supporting environment for plants. As such, plant-based resources are sensitive to changes in habitats, however these changes may be reversed if the habitat is restored."
Fibres and other materials,Habitats,A,"Habitats form the supporting environment for plants. As such, plant-based resources are sensitive to changes in habitats, however these changes may be reversed if the habitat is restored."
Fibres and other materials,Habitats,A,"Habitats form the supporting environment for plants. As such, plant-based resources are sensitive to changes in habitats, however these changes may be reversed if the habitat is restored."
Fibres and other materials,Habitats,A,"Habitats form the supporting environment for plants. As such, plant-based resources are sensitive to changes in habitats, however these changes may be reversed if the habitat is restored."
Fibres and other materials,Habitats,A,"Habitats form the supporting environment for plants. As such, plant-based resources are sensitive to changes in habitats, however these changes may be reversed if the habitat is restored."
Fibres and other materials,Habitats,A,"Habitats form the supporting environment for plants. As such, plant-based resources are sensitive to changes in habitats, however these changes may be reversed if the habitat is restored."
Fibres and other materials,Habitats,A,"Habitats form the supporting environment for plants. As such, plant-based resources are sensitive to changes in habitats, however these changes may be reversed if the habitat is restored."
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Fibres and other materials,Species,R,Species directly provide fibres and other materials. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Filtration,Habitats,R,Habitats are essential to the provision of filtration/sequestration/storage/accumulation by ecosystems. The impact of changes in habitats on the service is however highly variable as the relationship between the two is non-linear.
Filtration,Habitats,R,Habitats are essential to the provision of filtration/sequestration/storage/accumulation by ecosystems. The impact of changes in habitats on the service is however highly variable as the relationship between the two is non-linear.
Filtration,Habitats,R,Habitats are essential to the provision of filtration/sequestration/storage/accumulation by ecosystems. The impact of changes in habitats on the service is however highly variable as the relationship between the two is non-linear.
Filtration,Species,R,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Filtration,Species,R,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Filtration,Species,R,Species directly provide filtration services. Any reduction in the quantity or quality of species can therefore be expected to have a negative influence on the service provision.
Flood and storm protection,Habitats,R,"Flood protection is provided directly by a diversity of habitats and their elements such as mangroves, wetlands, reefs, beaches and sand dunes, among others."
Flood and storm protection,Habitats,R,"Flood protection is provided directly by a diversity of habitats and their elements such as mangroves, wetlands, reefs, beaches and sand dunes, among others."
Flood and storm protection,Habitats,R,"Flood protection is provided directly by a diversity of habitats and their elements such as mangroves, wetlands, reefs, beaches and sand dunes, among others."
Flood and storm protection,Habitats,R,"Flood protection is provided directly by a diversity of habitats and their elements such as mangroves, wetlands, reefs, beaches and sand dunes, among others."
Flood and storm protection,Habitats,R,"Flood protection is provided directly by a diversity of habitats and their elements such as mangroves, wetlands, reefs, beaches and sand dunes, among others."
Flood and storm protection,Habitats,R,"Flood protection is provided directly by a diversity of habitats and their elements such as mangroves, wetlands, reefs, beaches and sand dunes, among others."
Flood and storm protection,Habitats,R,"Flood protection is provided directly by a diversity of habitats and their elements such as mangroves, wetlands, reefs, beaches and sand dunes, among others."
Genetic materials,Species,R,Genetic material is highly sensitive to reductions in species’ population sizes as it would result in a loss of genetic diversity. A loss of genetic material is not reversible as genetic material is completely dependent on species to be passed on to the next generation.
Ground water,Water,A,Water directly provides groundwater. Groundwater is therefore highly sensitive to changes in the amount of water in water bodies and rainfall.
Ground water,Water,A,Water directly provides groundwater. Groundwater is therefore highly sensitive to changes in the amount of water in water bodies and rainfall.
Ground water,Water,A,Water directly provides groundwater. Groundwater is therefore highly sensitive to changes in the amount of water in water bodies and rainfall.
Ground water,Water,A,Water directly provides groundwater. Groundwater is therefore highly sensitive to changes in the amount of water in water bodies and rainfall.
Ground water,Water,A,Water directly provides groundwater. Groundwater is therefore highly sensitive to changes in the amount of water in water bodies and rainfall.
Maintain nursery habitats,Habitats,R,"The health of habitats is essential to their ability to function as nursery habitats to many species. A lack, or severe degradation of such habitats result in low densities or complete absence of nursery dependant species. Adverse changes in habitats might in some cases cause significant population depletions that require decades or centuries to recover from."
Maintain nursery habitats,Habitats,R,"The health of habitats is essential to their ability to function as nursery habitats to many species. A lack, or severe degradation of such habitats result in low densities or complete absence of nursery dependant species. Adverse changes in habitats might in some cases cause significant population depletions that require decades or centuries to recover from."
Maintain nursery habitats,Habitats,R,"The health of habitats is essential to their ability to function as nursery habitats to many species. A lack, or severe degradation of such habitats result in low densities or complete absence of nursery dependant species. Adverse changes in habitats might in some cases cause significant population depletions that require decades or centuries to recover from."
Maintain nursery habitats,Habitats,R,"The health of habitats is essential to their ability to function as nursery habitats to many species. A lack, or severe degradation of such habitats result in low densities or complete absence of nursery dependant species. Adverse changes in habitats might in some cases cause significant population depletions that require decades or centuries to recover from."
Maintain nursery habitats,Habitats,R,"The health of habitats is essential to their ability to function as nursery habitats to many species. A lack, or severe degradation of such habitats result in low densities or complete absence of nursery dependant species. Adverse changes in habitats might in some cases cause significant population depletions that require decades or centuries to recover from."
Maintain nursery habitats,Habitats,R,"The health of habitats is essential to their ability to function as nursery habitats to many species. A lack, or severe degradation of such habitats result in low densities or complete absence of nursery dependant species. Adverse changes in habitats might in some cases cause significant population depletions that require decades or centuries to recover from."
Maintain nursery habitats,Habitats,R,"The health of habitats is essential to their ability to function as nursery habitats to many species. A lack, or severe degradation of such habitats result in low densities or complete absence of nursery dependant species. Adverse changes in habitats might in some cases cause significant population depletions that require decades or centuries to recover from."
Maintain nursery habitats,Species,R,"Nurseries are sensitive to changes in species populations and composition. Different species play important roles such as these providing food and protection (eg sea grass), and directly providing the eggs, larvae and juveniles which make up the system."
Maintain nursery habitats,Species,R,"Nurseries are sensitive to changes in species populations and composition. Different species play important roles such as these providing food and protection (eg sea grass), and directly providing the eggs, larvae and juveniles which make up the system."
Maintain nursery habitats,Species,R,"Nurseries are sensitive to changes in species populations and composition. Different species play important roles such as these providing food and protection (eg sea grass), and directly providing the eggs, larvae and juveniles which make up the system."
Maintain nursery habitats,Species,R,"Nurseries are sensitive to changes in species populations and composition. Different species play important roles such as these providing food and protection (eg sea grass), and directly providing the eggs, larvae and juveniles which make up the system."
Maintain nursery habitats,Species,R,"Nurseries are sensitive to changes in species populations and composition. Different species play important roles such as these providing food and protection (eg sea grass), and directly providing the eggs, larvae and juveniles which make up the system."
Maintain nursery habitats,Species,R,"Nurseries are sensitive to changes in species populations and composition. Different species play important roles such as these providing food and protection (eg sea grass), and directly providing the eggs, larvae and juveniles which make up the system."
Maintain nursery habitats,Species,R,"Nurseries are sensitive to changes in species populations and composition. Different species play important roles such as these providing food and protection (eg sea grass), and directly providing the eggs, larvae and juveniles which make up the system."
Maintain nursery habitats,Water,A,"The maintenance of nursery populations and habitats is directly dependent on water. Changes in water quality, properties or provision can cause habitat and species loss. Losses due to changes in water quantity or queality may require decades to recover."
Maintain nursery habitats,Water,A,"The maintenance of nursery populations and habitats is directly dependent on water. Changes in water quality, properties or provision can cause habitat and species loss. Losses due to changes in water quantity or queality may require decades to recover."
Maintain nursery habitats,Water,A,"The maintenance of nursery populations and habitats is directly dependent on water. Changes in water quality, properties or provision can cause habitat and species loss. Losses due to changes in water quantity or queality may require decades to recover."
Maintain nursery habitats,Water,A,"The maintenance of nursery populations and habitats is directly dependent on water. Changes in water quality, properties or provision can cause habitat and species loss. Losses due to changes in water quantity or queality may require decades to recover."
Maintain nursery habitats,Water,A,"The maintenance of nursery populations and habitats is directly dependent on water. Changes in water quality, properties or provision can cause habitat and species loss. Losses due to changes in water quantity or queality may require decades to recover."
Maintain nursery habitats,Water,A,"The maintenance of nursery populations and habitats is directly dependent on water. Changes in water quality, properties or provision can cause habitat and species loss. Losses due to changes in water quantity or queality may require decades to recover."
Maintain nursery habitats,Water,A,"The maintenance of nursery populations and habitats is directly dependent on water. Changes in water quality, properties or provision can cause habitat and species loss. Losses due to changes in water quantity or queality may require decades to recover."
Maintain nursery habitats,Water,A,"The maintenance of nursery populations and habitats is directly dependent on water. Changes in water quality, properties or provision can cause habitat and species loss. Losses due to changes in water quantity or queality may require decades to recover."
Maintain nursery habitats,Water,A,"The maintenance of nursery populations and habitats is directly dependent on water. Changes in water quality, properties or provision can cause habitat and species loss. Losses due to changes in water quantity or queality may require decades to recover."
Mass stabilisation and erosion control,Habitats,A,"Habitats are key to erosion control, most of them provide this service through vegetation, or by structure of the habitat that protects or buffers erosion drivers. Forests and other vegetated habitats, reefs, dunes, etc provide the service in many different ways (soil stablity, barrier, improving drainage, canopy cover, etc)."
Mass stabilisation and erosion control,Habitats,A,"Habitats are key to erosion control, most of them provide this service through vegetation, or by structure of the habitat that protects or buffers erosion drivers. Forests and other vegetated habitats, reefs, dunes, etc provide the service in many different ways (soil stablity, barrier, improving drainage, canopy cover, etc)."
Mass stabilisation and erosion control,Habitats,A,"Habitats are key to erosion control, most of them provide this service through vegetation, or by structure of the habitat that protects or buffers erosion drivers. Forests and other vegetated habitats, reefs, dunes, etc provide the service in many different ways (soil stablity, barrier, improving drainage, canopy cover, etc)."
Mass stabilisation and erosion control,Habitats,A,"Habitats are key to erosion control, most of them provide this service through vegetation, or by structure of the habitat that protects or buffers erosion drivers. Forests and other vegetated habitats, reefs, dunes, etc provide the service in many different ways (soil stablity, barrier, improving drainage, canopy cover, etc)."
Mass stabilisation and erosion control,Habitats,A,"Habitats are key to erosion control, most of them provide this service through vegetation, or by structure of the habitat that protects or buffers erosion drivers. Forests and other vegetated habitats, reefs, dunes, etc provide the service in many different ways (soil stablity, barrier, improving drainage, canopy cover, etc)."
Mass stabilisation and erosion control,Habitats,A,"Habitats are key to erosion control, most of them provide this service through vegetation, or by structure of the habitat that protects or buffers erosion drivers. Forests and other vegetated habitats, reefs, dunes, etc provide the service in many different ways (soil stablity, barrier, improving drainage, canopy cover, etc)."
Mass stabilisation and erosion control,Habitats,A,"Habitats are key to erosion control, most of them provide this service through vegetation, or by structure of the habitat that protects or buffers erosion drivers. Forests and other vegetated habitats, reefs, dunes, etc provide the service in many different ways (soil stablity, barrier, improving drainage, canopy cover, etc)."
Mass stabilisation and erosion control,Habitats,A,"Habitats are key to erosion control, most of them provide this service through vegetation, or by structure of the habitat that protects or buffers erosion drivers. Forests and other vegetated habitats, reefs, dunes, etc provide the service in many different ways (soil stablity, barrier, improving drainage, canopy cover, etc)."
Mass stabilisation and erosion control,Habitats,A,"Habitats are key to erosion control, most of them provide this service through vegetation, or by structure of the habitat that protects or buffers erosion drivers. Forests and other vegetated habitats, reefs, dunes, etc provide the service in many different ways (soil stablity, barrier, improving drainage, canopy cover, etc)."
Mass stabilisation and erosion control,Land geomorphology,A,"Major alterations to the land morphology can have great impacts on the erosion profile of the site as it impacts soil erodibility, water runoff and other factors. Major changes in land geomorphology are often irreversible, affecting stabilisation and erosion control over the long term."
Mass stabilisation and erosion control,Land geomorphology,A,"Major alterations to the land morphology can have great impacts on the erosion profile of the site as it impacts soil erodibility, water runoff and other factors. Major changes in land geomorphology are often irreversible, affecting stabilisation and erosion control over the long term."
Mass stabilisation and erosion control,Land geomorphology,A,"Major alterations to the land morphology can have great impacts on the erosion profile of the site as it impacts soil erodibility, water runoff and other factors. Major changes in land geomorphology are often irreversible, affecting stabilisation and erosion control over the long term."
Mass stabilisation and erosion control,Land geomorphology,A,"Major alterations to the land morphology can have great impacts on the erosion profile of the site as it impacts soil erodibility, water runoff and other factors. Major changes in land geomorphology are often irreversible, affecting stabilisation and erosion control over the long term."
Mass stabilisation and erosion control,Soils and sediments,A,"Soil properties such as textures, infiltration capacity, permeability, organic content, and soil profile determine their susceptability to erosion. Changes in these properties highly affect the soil's capacity to provide the service."
Mass stabilisation and erosion control,Soils and sediments,A,"Soil properties such as textures, infiltration capacity, permeability, organic content, and soil profile determine their susceptability to erosion. Changes in these properties highly affect the soil's capacity to provide the service."
Mass stabilisation and erosion control,Soils and sediments,A,"Soil properties such as textures, infiltration capacity, permeability, organic content, and soil profile determine their susceptability to erosion. Changes in these properties highly affect the soil's capacity to provide the service."
Mass stabilisation and erosion control,Soils and sediments,A,"Soil properties such as textures, infiltration capacity, permeability, organic content, and soil profile determine their susceptability to erosion. Changes in these properties highly affect the soil's capacity to provide the service."
Mass stabilisation and erosion control,Soils and sediments,A,"Soil properties such as textures, infiltration capacity, permeability, organic content, and soil profile determine their susceptability to erosion. Changes in these properties highly affect the soil's capacity to provide the service."
Mass stabilisation and erosion control,Soils and sediments,A,"Soil properties such as textures, infiltration capacity, permeability, organic content, and soil profile determine their susceptability to erosion. Changes in these properties highly affect the soil's capacity to provide the service."
Mass stabilisation and erosion control,Soils and sediments,A,"Soil properties such as textures, infiltration capacity, permeability, organic content, and soil profile determine their susceptability to erosion. Changes in these properties highly affect the soil's capacity to provide the service."
Mass stabilisation and erosion control,Soils and sediments,A,"Soil properties such as textures, infiltration capacity, permeability, organic content, and soil profile determine their susceptability to erosion. Changes in these properties highly affect the soil's capacity to provide the service."
Mass stabilisation and erosion control,Soils and sediments,A,"Soil properties such as textures, infiltration capacity, permeability, organic content, and soil profile determine their susceptability to erosion. Changes in these properties highly affect the soil's capacity to provide the service."
Mediation of sensory impacts,Atmosphere,A,Atmospheric elements such as rain and wind are important assets in regulating air pollution.
Mediation of sensory impacts,Atmosphere,A,Atmospheric elements such as rain and wind are important assets in regulating air pollution.
Mediation of sensory impacts,Atmosphere,A,Atmospheric elements such as rain and wind are important assets in regulating air pollution.
Mediation of sensory impacts,Habitats,R,"Habitats serve as barriers and buffers that mediate the impact of light, noise and smells."
Mediation of sensory impacts,Habitats,R,"Habitats serve as barriers and buffers that mediate the impact of light, noise and smells."
Mediation of sensory impacts,Habitats,R,"Habitats serve as barriers and buffers that mediate the impact of light, noise and smells."
Mediation of sensory impacts,Species,R,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Mediation of sensory impacts,Species,R,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
Mediation of sensory impacts,Species,R,"Vegetation is the main natural barrier used to reduce noise and light pollution and is key in reducing air pollution, including smells. "
