Asset,Driver,Influence,Justification,Likely Response,Effect on Variability,Human action or natural variation,Timescale,Spatial Characteristics
Atmosphere,Pollution,R,"Atmospheric measurements have shown steady increases in the amounts of greenhouse gases (GHG), aerosols and particulates over the last 20 years as a result of pollution and are expected to continue, altering atmospheric compositions over the next 100 years. Decreases in vegetation filtering services provided by photosynthesis and dry deposition, as a result of deforestation, has left the atmosphere highly susceptible to further increases. Extensive studies have shown that greenhouse gases contribute to global warming and climate change.",Altered wind dynamics and the ability of wind to disperse seeds,Decreased dispersal distance of seeds by wind,Human action,Short term,Local
Atmosphere,Pollution,R,"Atmospheric measurements have shown steady increases in the amounts of greenhouse gases (GHG), aerosols and particulates over the last 20 years as a result of pollution and are expected to continue, altering atmospheric compositions over the next 100 years. Decreases in vegetation filtering services provided by photosynthesis and dry deposition, as a result of deforestation, has left the atmosphere highly susceptible to further increases. Extensive studies have shown that greenhouse gases contribute to global warming and climate change.",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,"Acid rain and pollution, acidity in air, etc. alters weathering agents in the environment (water, soil, air).",Human action,Long term,Local-Global
Atmosphere,Pollution,R,"Atmospheric measurements have shown steady increases in the amounts of greenhouse gases (GHG), aerosols and particulates over the last 20 years as a result of pollution and are expected to continue, altering atmospheric compositions over the next 100 years. Decreases in vegetation filtering services provided by photosynthesis and dry deposition, as a result of deforestation, has left the atmosphere highly susceptible to further increases. Extensive studies have shown that greenhouse gases contribute to global warming and climate change.",Suppressed rainfall in highly polluted areas due to reduced efficiency of clouds at releasing precipitation.,Decreased water balance and disrupted hydrological cycle in polluted areas,Human action,Short term,Local - Dependent on local pollution levels; areas with higher degrees of aerosol use will be more sensitive to this impact.
Atmosphere,Weather conditions,R,"The observed rise in global atmospheric temperatures are correlated with extreme weather events. The effects are not uniform across the globe, resulting in high variability in the response of the atmosphere to changing weather patterns. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to further negative weather patterns in the future.",Climatic anomalies (e.g. ENSO) create deficits and excesses in temperature and precipitation.,"Regulation of regional climate is heavily impacted, e.g. an El Niño is associated with warm and very wet weather months in April–October causing major flooding in southern hemisphere countries such as Peru and Ecuador.",Natural variation,Long-term,Regional - tropics and sub-tropics
Atmosphere,Weather conditions,R,"The observed rise in global atmospheric temperatures are correlated with extreme weather events. The effects are not uniform across the globe, resulting in high variability in the response of the atmosphere to changing weather patterns. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to further negative weather patterns in the future.",Prolonged periods of high pressure with little air movement can lead to temperature inversions (reversal of the normal decrease of air temperature with altitude).,Decrease in air flow reduces dilution effect and leads to accumulation of dust and pollutants.,Natural variation,Short term,Global. Exacerbated in cities at low elevation and surrounded by high topography.
Atmosphere,Weather conditions,R,"The observed rise in global atmospheric temperatures are correlated with extreme weather events. The effects are not uniform across the globe, resulting in high variability in the response of the atmosphere to changing weather patterns. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to further negative weather patterns in the future.","Alters conditions: temperature, humidity, rainfall.",Climatic conditions affect air pollution levels and absorption by vegetation. Climate changes may alter vegetation. Droughts may cause disruption of water for sound attenuation.,Natural variation/Human action,Short-mid term,Global
Atmosphere,Weather conditions,R,"The observed rise in global atmospheric temperatures are correlated with extreme weather events. The effects are not uniform across the globe, resulting in high variability in the response of the atmosphere to changing weather patterns. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to further negative weather patterns in the future.",Increases or decreases in wind velocity.,Increases or decreases in dispersal distance through wind.,Natural variation,Short term - Wind dynamics vary on a daily basis.,Local
Atmosphere,Weather conditions,R,"The observed rise in global atmospheric temperatures are correlated with extreme weather events. The effects are not uniform across the globe, resulting in high variability in the response of the atmosphere to changing weather patterns. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to further negative weather patterns in the future.",Increases or decreases in wind velocity on a local basis,Increased or decreased quality of seed dispersal through wind,Natural variation,Short term - Daily changes in weather conditions affect wind velocity,Local - The impact on service provision will depend on local wind conditions.
Atmosphere,Weather conditions,R,"The observed rise in global atmospheric temperatures are correlated with extreme weather events. The effects are not uniform across the globe, resulting in high variability in the response of the atmosphere to changing weather patterns. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to further negative weather patterns in the future.",Alteration of biochemical and chemical reactions.,"Biochemical reactions involved in decomposition and fixation processes are temperature dependent and have high temperature sensitivity. Low temperatures cause slow rates of chemical weathering and rely on physical processes. Warmth favours chemical weathering over physical, leading to deeper weathering.",Human action,Long term,Global
Atmosphere,Weather conditions,R,"The observed rise in global atmospheric temperatures are correlated with extreme weather events. The effects are not uniform across the globe, resulting in high variability in the response of the atmosphere to changing weather patterns. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to further negative weather patterns in the future.",Increases or decreases in the amount of rainfall and solar energy available on a regional/local basis.,Increased or decreased water balances within landscapes.,Natural variation,Short term - Daily to seasonal variation in rainfall and cloud cover that affects how solar energy impacts water in landscapes. Mid-term - Inter-annual variation in rainfall. Long term - Decadal variation in rainfall patterns.,"Regional - Rainfall patterns and solar energy are highly region-specific, for example tropical regions get periodic monsoons and dry months throughout the year, whereas temperate regions have more seasonal weather patterns."
Atmosphere,Weather conditions,R,"The observed rise in global atmospheric temperatures are correlated with extreme weather events. The effects are not uniform across the globe, resulting in high variability in the response of the atmosphere to changing weather patterns. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to further negative weather patterns in the future.",More unstable precipitation patterns and increases in global temperature.,Increases or decreases in water balance at a local and regional scale,Human action,Short term E.g. flash storms may lead to sudden floods.,Global - Climate change is global in its nature. Regional and local - Effects of climate change will be felt on a more local basis; arid regions are highly sensitive to variations in precipitation patterns and are likely to experience water shortage in the future.
Habitats,Droughts,R,"Habitats are highly susceptible to droughts, as water imbalances induce the likelihood of disease, fire, wind erosion, insect infestation and losses in vegetative productivity. Droughts have become more intensive and frequent in the last 50 years and are projected to follow this trend over the next 100 years, increasing the negative pressures on habitats.",Damage protective vegetation.,Poor vegetation cover. Damage protective vegetation.,Human action,Short term,Local
Habitats,Droughts,R,"Habitats are highly susceptible to droughts, as water imbalances induce the likelihood of disease, fire, wind erosion, insect infestation and losses in vegetative productivity. Droughts have become more intensive and frequent in the last 50 years and are projected to follow this trend over the next 100 years, increasing the negative pressures on habitats.","Rising temperatures and changing rainfall patterns creates the risk of crop failure, e.g. the 2010 Russian heatwave and the 2012 US Midwest drought. ","Decreasing yields of cereals, contributing to higher food prices and a greater demand than supply.",Human action,Long-term,Global
Habitats,Droughts,R,"Habitats are highly susceptible to droughts, as water imbalances induce the likelihood of disease, fire, wind erosion, insect infestation and losses in vegetative productivity. Droughts have become more intensive and frequent in the last 50 years and are projected to follow this trend over the next 100 years, increasing the negative pressures on habitats.","Climate change driven rising temperatures, changes in rainfall patterns and an increase in extreme weather events threatens fodder crop production.","Models suggest substantial risks to the volume, volatility, and quality of animal feed supply chains despite some gains in productivity.",Human action,Long-term,Global
Habitats,Droughts,R,"Habitats are highly susceptible to droughts, as water imbalances induce the likelihood of disease, fire, wind erosion, insect infestation and losses in vegetative productivity. Droughts have become more intensive and frequent in the last 50 years and are projected to follow this trend over the next 100 years, increasing the negative pressures on habitats.",Damage protective vegetation. Loss of cover due to event induced tree throw. Scalding removes topsoil.,Reduction of erosion control.,Natural/human action,Short-mid-long term,Global
Habitats,Droughts,R,"Habitats are highly susceptible to droughts, as water imbalances induce the likelihood of disease, fire, wind erosion, insect infestation and losses in vegetative productivity. Droughts have become more intensive and frequent in the last 50 years and are projected to follow this trend over the next 100 years, increasing the negative pressures on habitats.",Drought displaces or reduces populations of biota. Also reduces thickness of soil water films and inhibits enzymes.,Disturbance of biotic and abiotic factors poses environmental constraints that can temporarily or indefinitely affect decomposition sensitivity.,Human action,Short-long term,Local-Global
Habitats,Fire,R,"In the short term, fires rapidly reduce habitat availability - patches that do remain are often isolated and undesirable. More intense fires change multiple aspects of vegetation structure and soil will be exposed leading to higher rates of erosion. However, fire is a widely used management regime, and restoration of vegetation post-fire can often lead to increases in habitat availability and quality, e.g. through reducing litter and dead vegetation. Fire plays a role in maintaining a diversity of habitats that support species.",There will be a reduction in plant based fibre material post fire and during recovery period.,Imbalances in the fire cycle caused by extreme weather such as drought can create severe fires which affect provision of fibre and other plant based materials.,Natural variation,Long-term,"Global - grasslands, shrub lands and forests"
Habitats,Fire,R,"In the short term, fires rapidly reduce habitat availability - patches that do remain are often isolated and undesirable. More intense fires change multiple aspects of vegetation structure and soil will be exposed leading to higher rates of erosion. However, fire is a widely used management regime, and restoration of vegetation post-fire can often lead to increases in habitat availability and quality, e.g. through reducing litter and dead vegetation. Fire plays a role in maintaining a diversity of habitats that support species.",Damage protective vegetation. Loss of cover due to event induced tree throw. Scalding removes topsoil.,Reduction of erosion control.,Natural/human action,Short-mid-long term,Global
Habitats,Flooding,R,"Freshwater habitats are highly susceptible to floods through geomorphological change and invasive species introduction. Consequently, it is expected that there will be a negative change in habitat due to increased frequency of floods. Flood events have increased in intensity and duration since the early 2000s and are expected to increase in the future with enhanced frequency directly impacting habitats.",Loss of cover due to event induced tree throw. Wave action generated by winds.,Damage protective vegetation.,Natural,Short term,Universal
Habitats,Flooding,R,"Freshwater habitats are highly susceptible to floods through geomorphological change and invasive species introduction. Consequently, it is expected that there will be a negative change in habitat due to increased frequency of floods. Flood events have increased in intensity and duration since the early 2000s and are expected to increase in the future with enhanced frequency directly impacting habitats.","Rising temperatures and changing rainfall patterns creates the risk of crop failure, e.g. the 2010 Russian heatwave and the 2012 US Midwest drought. ","Decreasing yields of cereals, contributing to higher food prices and a greater demand than supply.",Human action,Long-term,Global
Habitats,Flooding,R,"Freshwater habitats are highly susceptible to floods through geomorphological change and invasive species introduction. Consequently, it is expected that there will be a negative change in habitat due to increased frequency of floods. Flood events have increased in intensity and duration since the early 2000s and are expected to increase in the future with enhanced frequency directly impacting habitats.","Climate change driven rising temperatures, changes in rainfall patterns and an increase in extreme weather events threatens fodder crop production.","Models suggest substantial risks to the volume, volatility, and quality of animal feed supply chains despite some gains in productivity.",Human action,Long-term,Global
Habitats,Flooding,R,"Freshwater habitats are highly susceptible to floods through geomorphological change and invasive species introduction. Consequently, it is expected that there will be a negative change in habitat due to increased frequency of floods. Flood events have increased in intensity and duration since the early 2000s and are expected to increase in the future with enhanced frequency directly impacting habitats.",Damage of protective vegetation and watersheds.,"Saturates ecosystem, reduced water storage capacity.",Human action,Short-mid-long term,Global
Habitats,Flooding,R,"Freshwater habitats are highly susceptible to floods through geomorphological change and invasive species introduction. Consequently, it is expected that there will be a negative change in habitat due to increased frequency of floods. Flood events have increased in intensity and duration since the early 2000s and are expected to increase in the future with enhanced frequency directly impacting habitats.",Wave action generated by wind and intense storms damages plants and cause changes in hydrology.,Loss or damage of vegetation can cause reduction in sediment retention capacity. Storm induced tree throw exposes soil and triggers erosion.,Natural,Short term,Local
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.","Habitat degradation and loss of plant species, thus reducing the number of plants available to perform phyto-remediation.",Decreased ability of plants to perform phyto-remediation.,Human action,"Short term - Habitat degradation can occur over the span of a few days, weeks, and/or months.",Local - This impact will be specific to areas that are most likely to be highly degraded as a result of human activities.
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.","Deforestation, reduction in vegetation cover",Decreases stability and resistance of topsoil. No barriers for buffering and attenuation.,Human action,Short-mid term,Local
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Forests converted to cultivated land causes removal of above ground biomass.,Increase in carbon emissions.,Human action,Short term,Mainly tropical but also boreal forests
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Land use change alters sediment supply causing state change in asset,Carbon burial in marine sediments is reduced; carbon emissions increased,Human action,Short term,Coastal ecosystems
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Conversion of wetlands for commercial purposes and resource extraction leads to loss of regional climate regulating function.,Conversion of wetlands causes the average temperature to increase by 0.77?C in all four seasons.,Human action,Mid-term,Global - wetlands
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Deforestation reduces tree density and diversity,"Evapotranspiration decreases, more ground surface exposed increasing albedo and climate warming",Human action,Mid-term,Especially pronounced in tropics
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.","Deforestation, road construction, agricultural encroachment, dam building, irrigation, coastal zone degradation, wetland modification, mining, and urbanisation",Complex and interlinked response in asset-service system. Interruption of the natural regulation of habitat for disease hosts results in increased exposure of humans to infectious disease,Human action,Short-long term,Global
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.","Forest edges opened up, exposing humans to new diseases from previously uncontacted pathogens",Service provision weakens as there are no factors present for the regulation of the disease transmission cycle,Human action,Short term,Developing countries
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Higher water turbidity (from sediment loading) leads to decreased light availability for photosynthesis.,There has been a loss of canopy-forming algae (up to 70 %) on parts of the Adelaide metropolitan coast since major urbanisation.,Human action,Long term,Coastal zone in mid-latitudes
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",There is a strong impact of land use on species composition. For example human land uses and secondary vegetation in an early stage of recovery are poor at retaining the species that characterise pristine (untouched) vegetation.,"This loss can impact on fibre production (e.g., cotton) and other wild sourced fibres as land is consumed for other uses.",Human action,Short to mid-term,Global - more pronounced in the tropics than temperate zones.
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",The supply of wood for pulp and wood ash is decreasing as a result of deforestation and unsustainable logging.,Timber plantations expand into natural forests. Models suggest deforestation over degradation in response to market demands resulting in eventual exhaustion of the supply.,Human action,Short-term,Global
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",The transition from natural to artificial coastal habitat dramatically changes species diversity while overall species abundance remains the same,Changes in species diversity will alter habitat composition and could introduce unwanted effects for marine algae such as increase in predators or diseases. This will reduce the quantity and quality of quality of algal-based agricultural materials.,Human action,Mid-term,Global
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",There is a strong impact of land use on species composition. For example human land uses and secondary vegetation in an early stage of recovery are poor at retaining the species that characterise pristine (untouched) vegetation.,This loss can impact on animal material production and as agricultural land is consumed for other uses.,Human action,Short to mid-term,Global - more pronounced in the tropics than temperate zones.
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Reduction in the habitats available to perform filtration and sequestration.,"Decreased ability to perform filtration and sequestration of pollutants at the ecosystem level (e.g. resulting from draining of key habitats such as wetlands, raised and blanket bogs; and from reclamation of marine habitats such as saltmarshes).",Human action,"Short term - Habitat degradation can occur over the span of a few days, weeks, and/or months.",Local - This impact will be specific to areas that are most likely to be highly degraded as a result of human activities.
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.","Reduction or complete destruction of vegetation cover, modification of hydrological regime.","Damage and loss of protective vegetation reduces flood attenuation capacity. Changes in river flow alter extent, duration and frequency of floodplain inundation.",Human action,Short-mid term,Local
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Freshwater diversion from estuarine areas,"Habitat loss leads to disruption of connectivity between spawning, nursery and adult stage habitats.",Human action,Short-mid term,Local-Regional
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.","Deforestation, reduction in vegetation cover",Decreases stability and resistance of top-soil. Reduction of erosion control.,Human action,Short-mid term,Local
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Changes in intensity and extension.,Vegetation alteration can degrade or cause loss of service.,Human action,Short term,Local
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Increase in non-native species,Changes in habitat characteristics facilitate non-native species which can outcompete native species creating more opportunities for pests.,Human action,Long term,Global
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Changes in intensity and extension.,"Type of land use determine types of disturbance (tillage, agrochemicals, fertilizers, excrements, etc.) and changes soil properties and water flow rates.",Human action,Short term,Local
Habitats,Habitat modification,A,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Changes to the way water flows through landscapes,Increased or decreased availability of water at the local and landscape level.,Human action,Short term,Local
Habitats,Industrial or domestic activities,A,"As with the impacts from construction, habitat quantity and quality is anticipated to decline in the long term, as a result of pressures from economic development. The mechanisms by which industrial or domestic activities drive change in habitats are often complex, and there is some uncertainty. Some habitats are more resilient to impacts than others, therefore there is variabilty in responses. ",Strong wave action by boats,Coastal systems such as mangrove forests could be damaged.,Human action,Short term,Local
Habitats,Industrial or domestic activities,A,"As with the impacts from construction, habitat quantity and quality is anticipated to decline in the long term, as a result of pressures from economic development. The mechanisms by which industrial or domestic activities drive change in habitats are often complex, and there is some uncertainty. Some habitats are more resilient to impacts than others, therefore there is variabilty in responses. ",Industrial activities and construction cause land use change and exposes upper soil layer resulting in loss of soil organic carbon.,Soil drainage increases aeration. Soil microorganism respiration rates therefore increase. Soil no longer accumulates soil organic carbon but becomes CO2 source.,Human action,Short term,Global - wetlands
Habitats,Industrial or domestic activities,A,"As with the impacts from construction, habitat quantity and quality is anticipated to decline in the long term, as a result of pressures from economic development. The mechanisms by which industrial or domestic activities drive change in habitats are often complex, and there is some uncertainty. Some habitats are more resilient to impacts than others, therefore there is variabilty in responses. ",Land use change alters sediment supply causing state change in asset,Carbon burial in marine sediments is reduced; carbon emissions increased,Human action,Short term,Coastal ecosystems
Habitats,Industrial or domestic activities,A,"As with the impacts from construction, habitat quantity and quality is anticipated to decline in the long term, as a result of pressures from economic development. The mechanisms by which industrial or domestic activities drive change in habitats are often complex, and there is some uncertainty. Some habitats are more resilient to impacts than others, therefore there is variabilty in responses. ",Coastal systems such as mangrove forests could be damaged.,Reduction of storm attenuation capacity.,Human action,Short term,Local
Habitats,Industrial or domestic activities,A,"As with the impacts from construction, habitat quantity and quality is anticipated to decline in the long term, as a result of pressures from economic development. The mechanisms by which industrial or domestic activities drive change in habitats are often complex, and there is some uncertainty. Some habitats are more resilient to impacts than others, therefore there is variabilty in responses. ","Water quality, depth, turbidity, salinity and nutrient changes will lead to changes in plant community structure and health, and decreases or disappearance of biotic communities and habitat health and complexity.","Habitat loss leads to disruption of connectivity between spawning, nursery and adult stage habitats. Displacement or local extinction of adult populations, disrupting spawning patterns. Sedimentation due to shipping activity reduces light penetration, settlement success, survival, and diversity of habitats such as coral.",Human action,Short term,Local
Habitats,Industrial or domestic activities,A,"As with the impacts from construction, habitat quantity and quality is anticipated to decline in the long term, as a result of pressures from economic development. The mechanisms by which industrial or domestic activities drive change in habitats are often complex, and there is some uncertainty. Some habitats are more resilient to impacts than others, therefore there is variabilty in responses. ","Strong wave action by boats. Loss of sand through mining, development and coastal structures. Disturbance of vegetation.",Damage of coastal ecosystems such as mangrove forests and loss of dunes and natural beaches results in reduction of sediment retention and erosion control.,Human action,Short term,Local
Habitats,Industrial or domestic construction,A,"Habitat quantity and quality are negatively affected by industrial or domestic construction. As the demand for infrastructure increases as a response to population increases, habitats are likely to be impacted. Construction is phased, therefore physical, chemical and biological impacts affect habitats in both the short and long term. Impacts vary by location, and habitats differ in their resilience to impacts.",The sealing of soils by urban construction in urban areas modifies the local climate.,"Vegetation no longer regulates climate, leading to even higher temperatures.",Human action,Short-term,Urban areas
Habitats,Landslides,R,Habitats are increasingly subjected to changes as a result of geological changes induced by mass flows. Studies have shown increases in the frequency and intensity of the associated processes as a result of  human activities. Grassland and freshwater aquatic habitats are highly susceptible to the disruption in nutrient balances and water quality that mass flows cause.,"Earth movements, alteration of slope steepness, the speed of runoff increases on steep slopes, which increases the power of water to break off and carry soil particles.",Increase soil break up and vulnerability to water erosion.,Natural,Short term,Local
